Campaign,Asset type,Field 1,Field 2,Field 3,Field 4,Final URL
Suraksha Neurosurgery - Search,Sitelink,About Dr. Reddy,MBBS MS MCh Neurosurgery,Assistant Professor Neurosurgery,,https://suraksha-neuro.vercel.app/about
Suraksha Neurosurgery - Search,Sitelink,Conditions Treated,Brain spine epilepsy and trauma,Explained in plain language,,https://suraksha-neuro.vercel.app/conditions
Suraksha Neurosurgery - Search,Sitelink,Book Appointment,Request a consultation,The clinic will call you back,,https://suraksha-neuro.vercel.app/contact
Suraksha Neurosurgery - Search,Sitelink,Hospital Facilities,Advanced ICU and trauma care,Nehru Nagar Khammam,,https://suraksha-neuro.vercel.app/facilities
Suraksha Neurosurgery - Search,Sitelink,Minimally Invasive Surgery,Smaller incisions,Shorter hospital stay,,https://suraksha-neuro.vercel.app/conditions/minimally-invasive-spine-surgery
Suraksha Neurosurgery - Search,Sitelink,Health Education,Understand your condition,Free patient guides,,https://suraksha-neuro.vercel.app/blog
Suraksha Neurosurgery - Search,Callout,24/7 Trauma Care,,,,
Suraksha Neurosurgery - Search,Callout,MCh Neurosurgery,,,,
Suraksha Neurosurgery - Search,Callout,Advanced ICU,,,,
Suraksha Neurosurgery - Search,Callout,Minimally Invasive Surgery,,,,
Suraksha Neurosurgery - Search,Callout,Assistant Professor,,,,
Suraksha Neurosurgery - Search,Callout,Endoscopic Surgery,,,,
Suraksha Neurosurgery - Search,Structured snippet,Services,Spine Surgery,Brain Surgery,Epilepsy Care,
Suraksha Neurosurgery - Search,Structured snippet,Services,Trauma Care,Minimally Invasive Spine Surgery,Endoscopic Neurosurgery,
Suraksha Neurosurgery - Search,Call,7075447449,India,,,
Suraksha Neurosurgery - Search,Location,Suraksha Hospital Old Priyadarshini College Building Nehru Nagar Khammam Telangana,,,,
Suraksha Emergency - Call Only,Call,7075447449,India,,,
Suraksha Emergency - Call Only,Callout,Available 24/7,,,,
Suraksha Emergency - Call Only,Callout,Neurosurgeon On Call,,,,
Suraksha Emergency - Call Only,Callout,Advanced ICU,,,,
Suraksha Emergency - Call Only,Location,Suraksha Hospital Old Priyadarshini College Building Nehru Nagar Khammam Telangana,,,,
