Campaign,Asset Group,Asset type,Text
Suraksha Brand Awareness - PMax,Asset Group 1,Final URL,https://drgrkneuro.com/
Suraksha Brand Awareness - PMax,Asset Group 1,Business name,Suraksha Hospital
Suraksha Brand Awareness - PMax,Asset Group 1,Short headline,Brain & Spine Surgeon Khammam
Suraksha Brand Awareness - PMax,Asset Group 1,Short headline,MCh Neurosurgeon in Khammam
Suraksha Brand Awareness - PMax,Asset Group 1,Short headline,24/7 Trauma & Emergency Care
Suraksha Brand Awareness - PMax,Asset Group 1,Long headline,Dr. Gade Ramakrishna Reddy - Consultant Brain & Spine Surgeon
Suraksha Brand Awareness - PMax,Asset Group 1,Long headline,Trusted Neurosurgeon at Suraksha Hospital Khammam
Suraksha Brand Awareness - PMax,Asset Group 1,Description,MBBS MS MCh Neurosurgery. Assistant Professor at Mamata Medical College.
Suraksha Brand Awareness - PMax,Asset Group 1,Description,24/7 trauma response with advanced ICU support at Suraksha Hospital Khammam.
Suraksha Brand Awareness - PMax,Asset Group 1,Description,Minimally invasive spine surgery epilepsy care and brain trauma treatment.
Suraksha Brand Awareness - PMax,Asset Group 1,Description,Call 7075 447 449 or book an appointment online.
Suraksha Brand Awareness - PMax,Asset Group 1,Call to action,Book Online
